Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
2.8,124.0,Ashfield:ST520,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
2.79,130.0,Ashfield:ST521,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.0,207.0,Ashfield:ST522,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.78,543.0,Granville:AY683,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
7.84,70.0,Granville:CL660,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.12,72.0,Granville:CL661,cluster 0,cluster 0,cluster 0,cluster 0,2.0,10.0,cluster 0,cluster 0
5.7,61.0,Granville:CL667,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.82,153.0,Granville:GE700,cluster 0,cluster 0,cluster 0,cluster 0,2.0,13.0,cluster 0,cluster 0
6.77,170.0,Granville:GE701,cluster 0,cluster 0,cluster 0,cluster 0,2.0,5.0,cluster 0,cluster 0
9.47,178.0,Granville:GE702,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
5.88,472.0,Granville:GE705,cluster 0,cluster 0,cluster 2,cluster 4,2.0,17.0,cluster 0,cluster 0
5.85,151.0,Granville:GE706,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
6.64,2382.0,Granville:GE708,cluster 1,cluster 2,cluster 3,cluster 2,2.0,17.0,cluster 0,cluster 0
6.64,1923.0,Granville:GE709,cluster 1,cluster 2,cluster 3,cluster 3,2.0,9.0,cluster 0,cluster 0
6.4,2035.0,Granville:GE710,cluster 1,cluster 2,cluster 3,cluster 3,2.0,23.0,cluster 2,cluster 0
6.65,141.0,Granville:GE711,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
16.75,134.0,Granville:GE712,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
6.52,136.0,Granville:GE713,cluster 0,cluster 0,cluster 0,cluster 0,2.0,5.0,cluster 0,cluster 0
6.61,129.0,Granville:GE714,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.52,888.0,Granville:GE715,cluster 1,cluster 1,cluster 1,cluster 1,2.0,5.0,cluster 0,cluster 0
6.5,919.0,Granville:GE716,cluster 1,cluster 1,cluster 1,cluster 1,2.0,9.0,cluster 0,cluster 0
6.8,903.0,Granville:GE717,cluster 1,cluster 1,cluster 1,cluster 1,2.0,11.0,cluster 0,cluster 0
5.34,932.0,Granville:GE720,cluster 1,cluster 1,cluster 1,cluster 1,2.0,7.0,cluster 0,cluster 0
5.41,61.0,Granville:GE721,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
5.43,1030.0,Granville:GE722,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
5.38,624.0,Granville:GE725,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
5.35,213.0,Granville:GE727,cluster 0,cluster 0,cluster 0,cluster 0,2.0,6.0,cluster 0,cluster 0
5.5,1312.0,Granville:GE728,cluster 1,cluster 1,cluster 1,cluster 1,2.0,0.0,cluster 0,cluster 0
5.6,226.0,Granville:GE729,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
5.53,1292.0,Granville:GE730,cluster 1,cluster 1,cluster 1,cluster 1,2.0,8.0,cluster 0,cluster 0
6.52,64.0,Granville:GE750,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 0
6.8,128.0,Granville:GE751,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.69,899.0,Granville:GE756,cluster 1,cluster 1,cluster 1,cluster 1,2.0,3.0,cluster 0,cluster 0
6.65,891.0,Granville:GE757,cluster 1,cluster 1,cluster 1,cluster 1,2.0,3.0,cluster 0,cluster 0
4.3,1137.0,Hornsby:B51,cluster 1,cluster 1,cluster 1,cluster 1,2.0,31.0,cluster 2,cluster 0
4.27,1076.0,Hornsby:B52,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
4.36,955.0,Hornsby:B53,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
4.42,129.0,Hornsby:C60,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.8,139.0,Hornsby:C64,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.56,9.0,Hornsby:HR200,cluster 0,cluster 0,cluster 0,cluster 0,2.0,19.0,cluster 0,cluster 1
6.35,26.0,Hornsby:HR204,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
8.0,4.0,Hornsby:HR207,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 1
6.04,26.0,Hornsby:HR208,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.05,1475.0,Hornsby:HY500,cluster 1,cluster 2,cluster 1,cluster 3,2.0,8.0,cluster 0,cluster 0
6.87,1231.0,Hornsby:HY501,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
7.2,223.0,Hornsby:HY502,cluster 0,cluster 0,cluster 0,cluster 0,2.0,15.0,cluster 0,cluster 0
6.92,124.0,Hornsby:HY508,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.8,537.0,Hornsby:HY515,cluster 0,cluster 1,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
3.93,147.0,Hornsby:HY516,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
3.8,647.0,Hornsby:HY517,cluster 0,cluster 1,cluster 2,cluster 4,2.0,7.0,cluster 0,cluster 0
3.79,631.0,Hornsby:HY518,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
6.06,630.0,Hornsby:HY520,cluster 0,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
4.6,798.0,Hornsby:HY521,cluster 1,cluster 1,cluster 1,cluster 1,2.0,12.0,cluster 0,cluster 0
4.62,982.0,Hornsby:HY523,cluster 1,cluster 1,cluster 1,cluster 1,2.0,15.0,cluster 0,cluster 0
4.67,658.0,Hornsby:HY526,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
6.49,638.0,Hornsby:HY527,cluster 0,cluster 1,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
4.65,539.0,Hornsby:HY528,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
4.67,108.0,Hornsby:HY529,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.67,460.0,Hornsby:HY530,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
3.82,277.0,Hornsby:HY531,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.7,433.0,Hornsby:HY533,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
4.32,424.0,Hornsby:HY534,cluster 0,cluster 0,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
6.09,160.0,Hornsby:HY535,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
6.02,161.0,Hornsby:HY536,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
5.98,109.0,Hornsby:HY537,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
6.04,77.0,Hornsby:HY538,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
5.96,72.0,Hornsby:HY539,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
7.62,198.0,Hornsby:HY540,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
6.92,913.0,Hornsby:HY541,cluster 1,cluster 1,cluster 1,cluster 1,2.0,8.0,cluster 0,cluster 0
7.22,1102.0,Hornsby:HY542,cluster 1,cluster 1,cluster 1,cluster 1,2.0,8.0,cluster 0,cluster 0
4.31,179.0,Hornsby:HY544,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.94,982.0,Hornsby:HY564,cluster 1,cluster 1,cluster 1,cluster 1,2.0,5.0,cluster 0,cluster 0
7.19,156.0,Hornsby:HY569,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
6.37,141.0,Hornsby:HY570,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.01,121.0,Hornsby:HY571,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.37,186.0,Hornsby:HY572,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.24,46.0,Hornsby:HY573,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
6.39,1052.0,Hornsby:HY574,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
6.76,290.0,Hornsby:HY7B,cluster 0,cluster 0,cluster 0,cluster 0,2.0,2.0,cluster 0,cluster 0
4.71,105.0,Lidcombe:AN602,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.71,119.0,Lidcombe:AN604,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
6.39,377.0,Lidcombe:AN608,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
6.03,239.0,Lidcombe:AN609,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
6.26,38.0,Lidcombe:AN624,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.95,39.0,Lidcombe:AN625,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.26,38.0,Lidcombe:AN626,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.65,43.0,Lidcombe:AN628,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
5.38,95.0,Lidcombe:AN629,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.69,333.0,Lidcombe:AN630,cluster 0,cluster 0,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
6.01,164.0,Lidcombe:AN631,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
5.5,144.0,Lidcombe:AN632,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
5.36,162.0,Lidcombe:AN633,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.39,155.0,Lidcombe:AN635,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.18,224.0,Lidcombe:AN636,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.94,137.0,Lidcombe:AN638,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.86,230.0,Lidcombe:ST625,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.29,154.0,Lidcombe:ST630,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.16,158.0,Lidcombe:ST631,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.64,265.0,Lidcombe:ST632,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.1,156.0,Lidcombe:ST633,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
2.78,592.0,Lidcombe:ST634,cluster 0,cluster 1,cluster 2,cluster 4,2.0,40.0,cluster 2,cluster 0
4.13,401.0,Lidcombe:ST635,cluster 0,cluster 0,cluster 2,cluster 4,2.0,7.0,cluster 0,cluster 0
9.85,110.0,Lidcombe:ST637,cluster 0,cluster 0,cluster 0,cluster 0,2.0,14.0,cluster 0,cluster 0
6.16,115.0,Lidcombe:ST638,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
7.87,234.0,Lidcombe:ST639,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
10.74,216.0,Lidcombe:ST640,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 0
11.82,191.0,Lidcombe:ST641,cluster 0,cluster 0,cluster 0,cluster 0,2.0,38.0,cluster 2,cluster 0
6.66,283.0,Lidcombe:ST646,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
6.26,65.0,Lidcombe:ST647,cluster 0,cluster 0,cluster 0,cluster 0,2.0,29.0,cluster 2,cluster 0
1.99,228.0,Lidcombe:ST651,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
1.14,370.0,Lidcombe:ST652,cluster 0,cluster 0,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.25,708.0,Lidcombe:ST653,cluster 1,cluster 1,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
1.51,239.0,Lidcombe:ST654,cluster 0,cluster 0,cluster 0,cluster 0,2.0,51.0,cluster 2,cluster 0
1.34,335.0,Lidcombe:ST655,cluster 0,cluster 0,cluster 2,cluster 4,2.0,28.0,cluster 2,cluster 0
1.51,469.0,Lidcombe:ST656,cluster 0,cluster 0,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
2.72,230.0,Lidcombe:ST657,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.39,277.0,Lidcombe:ST658,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 0
2.54,92.0,Lidcombe:ST659,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.54,157.0,Lidcombe:ST664,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 0
4.54,112.0,Lidcombe:ST665,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
4.53,19.0,Lidcombe:ST686,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
4.71,299.0,Lidcombe:ST687,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
4.5,294.0,Lidcombe:ST688,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
4.66,2901.0,Lidcombe:ST690,cluster 1,cluster 2,cluster 3,cluster 2,2.0,39.0,cluster 2,cluster 0
3.37,177.0,Lidcombe:ST693,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
3.4,172.0,Lidcombe:ST694,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
4.53,553.0,Lidcombe:ST695,cluster 0,cluster 1,cluster 2,cluster 4,2.0,21.0,cluster 2,cluster 0
4.65,185.0,Lidcombe:ST696,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.51,146.0,Lidcombe:ST697,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.86,263.0,Lidcombe:ST699,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.49,246.0,Lidcombe:ST700,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.59,569.0,Lidcombe:ST701,cluster 0,cluster 1,cluster 2,cluster 4,2.0,29.0,cluster 2,cluster 0
4.7,838.0,Lidcombe:ST702,cluster 1,cluster 1,cluster 1,cluster 1,2.0,38.0,cluster 2,cluster 0
4.82,83.0,Lidcombe:ST703,cluster 0,cluster 0,cluster 0,cluster 0,2.0,27.0,cluster 2,cluster 0
4.78,94.0,Lidcombe:ST704,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.36,181.0,Lidcombe:ST708,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 0
4.38,1727.0,Lidcombe:ST709,cluster 1,cluster 2,cluster 3,cluster 3,2.0,13.0,cluster 0,cluster 0
4.75,376.0,Lidcombe:ST713,cluster 0,cluster 0,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
4.43,191.0,Lidcombe:ST714,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
5.02,130.0,Lidcombe:ST716,cluster 0,cluster 0,cluster 0,cluster 0,2.0,14.0,cluster 0,cluster 0
4.57,225.0,Lidcombe:ST717,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
4.18,235.0,Lidcombe:ST718,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
4.68,189.0,Lidcombe:ST719,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.91,197.0,Lidcombe:ST720,cluster 0,cluster 0,cluster 0,cluster 0,2.0,18.0,cluster 0,cluster 0
4.5,124.0,Lidcombe:ST721,cluster 0,cluster 0,cluster 0,cluster 0,2.0,3.0,cluster 0,cluster 0
5.9,181.0,Lidcombe:ST861,cluster 0,cluster 0,cluster 0,cluster 0,2.0,18.0,cluster 0,cluster 0
5.54,200.0,Lidcombe:ST862,cluster 0,cluster 0,cluster 0,cluster 0,2.0,14.0,cluster 0,cluster 0
6.0,25.0,Lidcombe:ST863,cluster 0,cluster 0,cluster 0,cluster 0,2.0,22.0,cluster 2,cluster 1
5.51,312.0,Lidcombe:ST870,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 0
5.86,333.0,Lidcombe:ST871,cluster 0,cluster 0,cluster 2,cluster 4,2.0,33.0,cluster 2,cluster 0
6.28,130.0,Mountains:KT101,cluster 0,cluster 0,cluster 0,cluster 0,2.0,10.0,cluster 0,cluster 0
6.09,45.0,Mountains:KT102,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.33,88.0,Mountains:KT105,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.4,48.0,Mountains:KT107,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
6.47,30.0,Mountains:LN119,cluster 0,cluster 0,cluster 0,cluster 0,2.0,19.0,cluster 0,cluster 1
6.57,23.0,Mountains:LN120,cluster 0,cluster 0,cluster 0,cluster 0,2.0,27.0,cluster 2,cluster 1
6.39,28.0,Mountains:LN124,cluster 0,cluster 0,cluster 0,cluster 0,2.0,15.0,cluster 0,cluster 0
6.11,28.0,Mountains:NJ102,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.15,53.0,Mountains:NJ103,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.11,28.0,Mountains:NJ106,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
5.94,126.0,Mountains:RH50,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.77,56.0,Mountains:SD102,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 0
6.74,126.0,Mountains:SD117,cluster 0,cluster 0,cluster 0,cluster 0,2.0,20.0,cluster 0,cluster 0
6.7,23.0,Mountains:SD118,cluster 0,cluster 0,cluster 0,cluster 0,2.0,24.0,cluster 2,cluster 1
7.46,1250.0,NorthShore:GN50,cluster 1,cluster 1,cluster 1,cluster 1,2.0,21.0,cluster 2,cluster 0
32.74,1338.0,NorthShore:GN51,cluster 1,cluster 1,cluster 1,cluster 1,2.0,47.0,cluster 2,cluster 0
7.87,1132.0,NorthShore:GN52,cluster 1,cluster 1,cluster 1,cluster 1,2.0,16.0,cluster 0,cluster 0
7.56,933.0,NorthShore:GN53,cluster 1,cluster 1,cluster 1,cluster 1,2.0,17.0,cluster 0,cluster 0
6.95,722.0,NorthShore:LD20,cluster 1,cluster 1,cluster 2,cluster 4,2.0,16.0,cluster 0,cluster 0
6.9,720.0,NorthShore:LD21,cluster 1,cluster 1,cluster 2,cluster 4,2.0,19.0,cluster 0,cluster 0
6.58,33.0,NorthSydney:NS599,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 0
6.56,149.0,NorthSydney:NS600,cluster 0,cluster 0,cluster 0,cluster 0,2.0,31.0,cluster 2,cluster 0
6.56,324.0,NorthSydney:NS601,cluster 0,cluster 0,cluster 2,cluster 4,2.0,24.0,cluster 2,cluster 0
11.55,230.0,NorthSydney:NS602,cluster 0,cluster 0,cluster 0,cluster 0,2.0,26.0,cluster 2,cluster 0
